+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  3 |       NEW |     READY |
|                 0 |  5 |       NEW |     READY |
|                 0 |  7 |       NEW |     READY |
|                 0 |  3 |     READY |   RUNNING |
|                10 |  3 |   RUNNING |   WAITING |
|                10 |  5 |     READY |   RUNNING |
|                15 |  3 |   WAITING |     READY |
|                18 |  5 |   RUNNING |   WAITING |
|                18 |  3 |     READY |   RUNNING |
|                22 |  5 |   WAITING |     READY |
|                28 |  3 |   RUNNING |   WAITING |
|                28 |  5 |     READY |   RUNNING |
|                33 |  3 |   WAITING |     READY |
|                36 |  5 |   RUNNING |   WAITING |
|                36 |  3 |     READY |   RUNNING |
|                40 |  5 |   WAITING |     READY |
|                46 |  3 |   RUNNING |   WAITING |
|                46 |  5 |     READY |   RUNNING |
|                51 |  3 |   WAITING |     READY |
|                54 |  5 |   RUNNING |   WAITING |
|                54 |  3 |     READY |   RUNNING |
|                58 |  5 |   WAITING |     READY |
|                64 |  3 |   RUNNING |   WAITING |
|                64 |  5 |     READY |   RUNNING |
|                69 |  3 |   WAITING |     READY |
|                72 |  5 |   RUNNING |   WAITING |
|                72 |  3 |     READY |   RUNNING |
|                76 |  5 |   WAITING |     READY |
|                82 |  3 |   RUNNING |   WAITING |
|                82 |  5 |     READY |   RUNNING |
|                87 |  3 |   WAITING |     READY |
|                90 |  5 |   RUNNING |   WAITING |
|                90 |  3 |     READY |   RUNNING |
|                94 |  5 |   WAITING |     READY |
|               100 |  3 |   RUNNING |   WAITING |
|               100 |  5 |     READY |   RUNNING |
|               105 |  3 |   WAITING |     READY |
|               108 |  5 |   RUNNING |   WAITING |
|               108 |  3 |     READY |   RUNNING |
|               112 |  5 |   WAITING |     READY |
|               118 |  3 |   RUNNING |   WAITING |
|               118 |  5 |     READY |   RUNNING |
|               123 |  3 |   WAITING |     READY |
|               126 |  5 |   RUNNING |   WAITING |
|               126 |  3 |     READY |   RUNNING |
|               130 |  5 |   WAITING |     READY |
|               136 |  3 |   RUNNING |   WAITING |
|               136 |  5 |     READY |   RUNNING |
|               141 |  3 |   WAITING |     READY |
|               144 |  5 |   RUNNING |   WAITING |
|               144 |  3 |     READY |   RUNNING |
|               148 |  5 |   WAITING |     READY |
|               154 |  3 |   RUNNING |   WAITING |
|               154 |  5 |     READY |   RUNNING |
|               159 |  3 |   WAITING |     READY |
|               162 |  5 |   RUNNING |   WAITING |
|               162 |  3 |     READY |   RUNNING |
|               166 |  5 |   WAITING |     READY |
|               172 |  3 |   RUNNING |TERMINATED |
|               172 |  5 |     READY |   RUNNING |
|               180 |  5 |   RUNNING |TERMINATED |
|               180 |  7 |     READY |   RUNNING |
|               186 |  7 |   RUNNING |   WAITING |
|               189 |  7 |   WAITING |     READY |
|               189 |  7 |     READY |   RUNNING |
|               195 |  7 |   RUNNING |   WAITING |
|               198 |  7 |   WAITING |     READY |
|               198 |  7 |     READY |   RUNNING |
|               204 |  7 |   RUNNING |   WAITING |
|               207 |  7 |   WAITING |     READY |
|               207 |  7 |     READY |   RUNNING |
|               213 |  7 |   RUNNING |   WAITING |
|               216 |  7 |   WAITING |     READY |
|               216 |  7 |     READY |   RUNNING |
|               222 |  7 |   RUNNING |   WAITING |
|               225 |  7 |   WAITING |     READY |
|               225 |  7 |     READY |   RUNNING |
|               231 |  7 |   RUNNING |   WAITING |
|               234 |  7 |   WAITING |     READY |
|               234 |  7 |     READY |   RUNNING |
|               240 |  7 |   RUNNING |   WAITING |
|               243 |  7 |   WAITING |     READY |
|               243 |  7 |     READY |   RUNNING |
|               249 |  7 |   RUNNING |   WAITING |
|               252 |  7 |   WAITING |     READY |
|               252 |  7 |     READY |   RUNNING |
|               258 |  7 |   RUNNING |   WAITING |
|               261 |  7 |   WAITING |     READY |
|               261 |  7 |     READY |   RUNNING |
|               267 |  7 |   RUNNING |TERMINATED |
+------------------------------------------------+
